"P","l"
"2.402712","0.015"
"4.812","0.029"
"7.2228585","0.042777777777778"
"9.632441","0.056666666666667"
"12.048","0.071"
"14.4584765","0.082777777777778"
"16.866096","0.095"
"19.273","0.108"
"21.683298","0.12388888888889"
"24.082084","0.13166666666667"
"2.403","0.014"
"4.8122945","0.028888888888889"
"7.2228585","0.042777777777778"
"9.632441","0.056111111111111"
"12.0479125","0.069444444444445"
"14.4584765","0.083333333333333"
"16.866096","0.095555555555556"
"19.272734","0.10722222222222"
"21.683298","0.11944444444444"
"24.082084","0.12777777777778"
"2.402712","0.014444444444444"
"4.8122945","0.028333333333333"
"7.2228585","0.042777777777778"
"9.632441","0.056111111111111"
"12.0479125","0.07"
"14.4584765","0.083333333333333"
"16.866096","0.096666666666667"
"19.272734","0.11"
"21.683298","0.12166666666667"
"24.082084","0.13166666666667"
"0","0"
"2.402712","0.015555555555556"
"4.8122945","0.03"
"7.2228585","0.043888888888889"
"9.632441","0.057222222222222"
"12.0479125","0.070555555555556"
"14.4584765","0.083888888888889"
"16.866096","0.097222222222222"
"19.272734","0.11055555555556"
"21.683298","0.12388888888889"
"2.402712","0.015"
"4.8122945","0.028888888888889"
"7.2228585","0.042777777777778"
"9.632441","0.056666666666667"
"12.0479125","0.07"
"14.4584765","0.083333333333333"
"16.866096","0.096111111111111"
"19.272734","0.10888888888889"
"21.683298","0.12277777777778"
"0","0.00055555555555556"
"2.402712","0.015"
"4.8122945","0.029444444444444"
"7.2228585","0.042777777777778"
"9.632441","0.056666666666667"
"12.0479125","0.07"
"14.4584765","0.083333333333333"
"16.866096","0.096666666666667"
"19.272734","0.11"
"21.683298","0.12333333333333"
